pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,10,0,40,0,,,,,128.33395549980924,129.33355650003068,129.33355650003068,129.33355650003068,129.33355650003068,129.33355650003068,130.3328257999383,130.3328257999383,x,1,0.3370908002834767,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,10,1,41,1,,,,,130.70012689987198,131.6994713000022,131.6994713000022,131.6994713000022,131.6994713000022,131.6994713000022,132.69887459999882,132.69887459999882,v,1,0.5655702000949532,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,10,2,42,2,,,,,133.28195089986548,134.28166430001147,134.28166430001147,134.28166430001147,134.28166430001147,134.28166430001147,135.28128189989366,135.28128189989366,c,1,0.332424100022763,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,10,3,43,3,,,,,135.63149930001236,136.63117800001055,136.63117800001055,136.63117800001055,136.63117800001055,136.63117800001055,137.63089699996635,137.63089699996635,z,1,0.7112954000476748,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,11,0,44,0,,,,,138.3637935000006,139.363792499993,139.363792499993,139.363792499993,139.363792499993,139.363792499993,140.3629450998269,140.3629450998269,x,1,0.357867700047791,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,11,1,45,1,,,,,140.74643049994484,141.74609020003118,141.74609020003118,141.74609020003118,141.74609020003118,141.74609020003118,142.74561299989,142.74561299989,v,1,0.5189548002090305,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,11,2,46,2,,,,,143.295357799856,144.2951621999964,144.2951621999964,144.2951621999964,144.2951621999964,144.2951621999964,145.29505159985274,145.29505159985274,c,1,0.3824954000301659,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,11,3,47,3,,,,,145.69453879981302,146.69444659980945,146.69444659980945,146.69444659980945,146.69444659980945,146.69444659980945,147.69386529992335,147.69386529992335,z,1,0.4471905999816954,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,12,0,48,0,,,,,148.16047129989602,149.16008099983446,149.16008099983446,149.16008099983446,149.16008099983446,149.16008099983446,150.15990179986693,150.15990179986693,x,1,0.3198669000994414,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,12,1,49,1,,,,,150.50966480001807,151.5092020998709,151.5092020998709,151.5092020998709,151.5092020998709,151.5092020998709,152.50882299989462,152.50882299989462,v,1,0.630436000181362,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,12,2,50,2,,,,,153.15866989991628,154.15848719980568,154.15848719980568,154.15848719980568,154.15848719980568,154.15848719980568,155.15852830000222,155.15852830000222,c,1,0.2993084001354873,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,12,3,51,3,,,,,155.47462969995104,156.47435169992968,156.47435169992968,156.47435169992968,156.47435169992968,156.47435169992968,157.47394840000197,157.47394840000197,z,1,0.3313546001445502,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,13,0,52,0,,,,,157.82397829997353,158.82363160001114,158.82363160001114,158.82363160001114,158.82363160001114,158.82363160001114,159.82326139998622,159.82326139998622,x,1,0.8876794001553208,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,13,1,53,1,,,,,160.73976029991172,161.7391162000131,161.7391162000131,161.7391162000131,161.7391162000131,161.7391162000131,162.7386824998539,162.7386824998539,v,1,0.4464110000990331,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,13,2,54,2,,,,,163.20541009982117,164.20483459997922,164.20483459997922,164.20483459997922,164.20483459997922,164.20483459997922,165.2046664999798,165.2046664999798,c,1,0.9019202999770641,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,13,3,55,3,,,,,166.13788669998758,167.13730259984732,167.13730259984732,167.13730259984732,167.13730259984732,167.13730259984732,168.1370223998092,168.1370223998092,z,1,0.8590523002203554,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,14,0,56,0,,,,,169.02003319980577,170.01992570003495,170.01992570003495,170.01992570003495,170.01992570003495,170.01992570003495,171.01945769996382,171.01945769996382,x,1,0.670521300053224,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,14,1,57,1,,,,,171.7193576998543,172.71895559993573,172.71895559993573,172.71895559993573,172.71895559993573,172.71895559993573,173.71827099984512,173.71827099984512,v,1,0.3059092001058161,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,14,2,58,2,,,,,174.05167399998754,175.05137280002236,175.05137280002236,175.05137280002236,175.05137280002236,175.05137280002236,176.05101529997773,176.05101529997773,c,1,0.3419768000021577,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,14,3,59,3,,,,,176.4176554000005,177.41740589984693,177.41740589984693,177.41740589984693,177.41740589984693,177.41740589984693,178.4166349999141,178.4166349999141,z,1,0.9153781000059098,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,15,0,60,0,,,,,179.35003949981183,180.34965829993598,180.34965829993598,180.34965829993598,180.34965829993598,180.34965829993598,181.34922380000353,181.34922380000353,x,1,1.2695643003098667,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,15,1,61,1,,,,,182.64896709984168,183.6486070000101,183.6486070000101,183.6486070000101,183.6486070000101,183.6486070000101,184.64820649987087,184.64820649987087,v,1,1.68457440007478,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
